,price_per_sqft,city,county,state,streetAddress,bedrooms,bathrooms,price,livingAreaValue,lotSize_sqft,yearBuilt,zipcode,rentZestimate,zestimate,propertyTaxRate,neighborhoodRegion_name,agentName,agent_businessName,architecture_style,year_built,agency_compensation%
385,985.0,San Francisco,San Francisco County,CA,420 Noe St #3C,3.0,2.0,1749000,1775.0,3750.0,1900,94114,,,0.67,Castro,Sean Jeremy Weinstock,Vanguard Properties,,1900,2.5
386,944.0,San Francisco,San Francisco County,CA,420 Noe St,8.0,6.0,4308000,4565.0,3750.0,1900,94114,5495,4396520,0.67,Castro,Sean Jeremy Weinstock,Vanguard Properties,,1900,2.5
387,1109.0,San Francisco,San Francisco County,CA,425 Dellbrook Ave,3.0,2.0,1855000,1672.0,4072.0,1958,94131,5095,1856031,0.67,Clarendon Heights,Gary J. Snow,Compass,Mid-Century,1958,2.5
388,493.0,San Francisco,San Francisco County,CA,430-432 Girard St,4.0,3.0,1259000,2555.0,3001.0,1975,94134,8950,,0.67,Portola,Darin J. Holwitz,Compass,"Contemporary,Mid-Century",1975,2.5
389,969.0,San Jose,Santa Clara County,CA,430 Vaughn Ave,2.0,1.0,1095000,1130.0,4003.0,1920,95128,3200,1112100,0.77,Burbank,Brandon Schaeffer,Coldwell Banker Realty,,1920,
390,569.0,San Francisco,San Francisco County,CA,431-433 12th Ave,4.0,4.0,1798000,3160.0,3001.0,1922,94118,4699,1871000,0.67,Inner Richmond,Hiroyuki Nagamine,Compass,,1922,2.5
391,840.0,Fremont,Alameda County,CA,43139 Calle Sagrada,4.0,4.0,1995000,2374.0,1306.0,2019,94539,4500,1993789,0.81,Mission San Jose,Surinder Gill,Compass,Contemporary,2019,2.5
392,881.0,Fremont,Alameda County,CA,43150 Calle Familia,4.0,4.0,2049888,2327.0,1742.0,2016,94539,5373,2015800,0.81,Mission San Jose,Faridoon Lodin,Alliance Bay Realty,Contemporary,2016,2.5
393,863.0,Fremont,Alameda County,CA,43154 Calle Familia,4.0,4.0,2049888,2374.0,1742.0,2017,94539,4500,2039029,0.81,Mission San Jose,Faridoon Lodin,Alliance Bay Realty,Contemporary,2017,2.5
394,1127.0,San Francisco,San Francisco County,CA,4330 20th St,4.0,2.0,2198000,1950.0,2064.0,1900,94114,3899,,0.67,Eureka Valley,Marylene Notarianni,Compass,,1900,
